BeamWidth,4,5,6,7,8,9,10
5,8.5,12.0,13.5,16.0,26.0,28.5,26.0
10,8.5,11.0,12.0,16.0,25.0,27.0,24.0
15,8.5,11.0,12.0,15.0,23.0,24.0,24.0
20,8.5,11.0,12.0,15.0,22.0,22.5,24.0
25,8.5,11.0,12.0,15.0,21.0,22.0,24.0
