,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,10,8,8,8,9,10,6,8,8,8,9,4,9,9,6,8,6,9,8,8
5,12,11,9,10,12,13,12,10,13,11,12,12,11,11,13,12,9,12,11,6
6,15,13,15,12,17,12,11,15,15,16,14,14,10,13,14,16,16,12,16,16
7,16,16,16,17,15,15,17,16,21,16,18,19,19,21,22,16,17,15,17,18
8,24,19,17,26,20,18,22,19,23,22,22,20,22,23,21,24,19,24,19,26
9,25,26,27,22,21,35,21,26,30,26,25,26,32,22,23,30,35,32,29,26
10,28,31,30,24,26,31,30,29,25,32,28,27,38,35,28,26,31,24,32,31
