,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,35,26,24,24,31,37,11,30,27,26,31,6,31,26,13,24,11,27,25,30
5,78,68,31,63,67,68,62,57,79,63,70,76,63,79,81,87,27,74,64,13
6,178,181,171,67,187,160,63,178,176,168,164,230,58,156,164,197,168,160,178,169
7,439,442,434,436,169,434,440,175,473,438,446,458,447,534,496,457,444,432,466,587
8,1422,1267,466,1432,1264,445,1279,1262,1332,1279,1301,1286,1276,1338,1279,1303,1287,1568,1271,1389
9,3709,3686,3694,3706,1275,4015,3668,1285,4180,3679,3696,3690,3886,1309,3666,3686,3963,3724,3749,3744
10,10996,10884,10884,10889,10901,11108,10965,11032,10865,3993,11033,10985,10980,11259,10878,11057,11108,10935,10884,10918
